twcc_id,frame_size,loss_packets_counts,threshold,delay_grad_before_kalman,delay_grad_after_kalman,gcc_bw,rtt
0,2,0,600000,13079,1199,5000000,25
0,2,0,600000,13079,1199,5000000,25
0,2,0,600000,13079,1199,5000000,25
0,4,0,600000,13079,1199,5000000,25
1,2,0,12500,-13393,-77,5000000,21
1,2,0,12500,-13393,-77,5000000,21
1,2,0,12500,-13393,-77,5000000,21
1,2,0,12500,-13393,-77,5000000,21
1,2,0,12500,-13393,-77,5000000,21
2,2,0,12500,14424,3315,5000000,34
2,2,0,12500,14424,3315,5000000,34
2,2,0,12500,14424,3315,5000000,34
2,2,0,12500,14424,3315,5000000,34
3,2,0,12423,-13125,200,5250000,13
3,2,0,12423,-13125,200,5250000,13
3,2,0,12423,-13125,200,5250000,13
3,2,0,12423,-13125,200,5250000,13
3,2,0,12423,-13125,200,5250000,13
4,2,0,12294,10916,4047,5250000,19
4,2,0,12294,10916,4047,5250000,19
4,2,0,12294,10916,4047,5250000,19
4,2,0,12294,10916,4047,5250000,19
5,2,0,12207,-4047,2927,5250000,15
5,2,0,12207,-4047,2927,5250000,15
5,4,0,12207,-4047,2927,5250000,15
5,2,0,12207,-4047,2927,5250000,15
5,2,0,12207,-4047,2927,5250000,15
6,2,0,12105,4424,5150,5250000,18
6,2,0,12105,4424,5150,5250000,18
6,2,0,12105,4424,5150,5250000,18
6,2,0,12105,4424,5150,5250000,18
7,2,0,12036,2676,6819,5500107,19
7,2,0,12036,2676,6819,5500107,19
7,3,0,12036,2676,6819,5500107,19
7,4,0,12036,2676,6819,5500107,19
7,4,0,12036,2676,6819,5500107,19
8,6,0,11985,-1509,6448,5500107,7
8,6,0,11985,-1509,6448,5500107,7
8,6,0,11985,-1509,6448,5500107,7
8,6,0,11985,-1509,6448,5500107,7
8,7,0,11985,-1509,6448,5500107,7
9,2,0,11930,-1325,6034,5500107,12
9,7,0,11930,-1325,6034,5500107,12
9,9,0,11930,-1325,6034,5500107,12
9,3,0,11930,-1325,6034,5500107,12
9,3,0,11930,-1325,6034,5500107,12
10,5,0,11874,-2135,5030,5500107,12
10,5,0,11874,-2135,5030,5500107,12
10,5,0,11874,-2135,5030,5500107,12
10,6,0,11874,-2135,5030,5500107,12
10,6,0,11874,-2135,5030,5500107,12
11,7,0,11801,6984,9525,5599423,13
11,7,0,11801,6984,9525,5599423,13
11,8,0,11801,6984,9525,5599423,13
11,9,0,11801,6984,9525,5599423,13
11,8,0,11801,6984,9525,5599423,13
12,1,0,11780,-2104,8438,5599423,15
12,9,0,11780,-2104,8438,5599423,15
