frame_size,loss,rtt,fec,protection_ratio,protection_absolute,size_bin
2,1,69,1.0,1.0,0.0,0-10
124,1,134,5.0,5.0,4.0,101-200
14,1,71,2.0,2.0,1.0,11-20
14,1,71,2.0,2.0,1.0,11-20
14,1,71,2.0,2.0,1.0,11-20
14,1,73,2.0,2.0,1.0,11-20
14,1,76,2.0,2.0,1.0,11-20
14,1,56,2.0,2.0,1.0,11-20
14,1,65,2.0,2.0,1.0,11-20
26,1,72,2.0,2.0,1.0,21-50
31,1,61,2.0,2.0,1.0,21-50
38,1,63,2.0,2.0,1.0,21-50
67,1,132,3.0,3.0,2.0,51-100
88,1,101,3.0,3.0,2.0,51-100
18,1,87,2.0,2.0,1.0,11-20
14,1,133,2.0,2.0,1.0,11-20
63,1,126,2.0,2.0,1.0,51-100
21,1,53,1.0,1.0,0.0,21-50
19,2,71,2.0,1.0,0.0,11-20
61,1,82,2.0,2.0,1.0,51-100
158,1,219,6.0,6.0,5.0,101-200
191,2,169,7.0,3.5,5.0,101-200
185,1,279,7.0,7.0,6.0,101-200
20,1,139,1.0,1.0,0.0,11-20
50,1,60,2.0,2.0,1.0,21-50
80,1,81,3.0,3.0,2.0,51-100
14,1,64,2.0,2.0,1.0,11-20
84,1,89,3.0,3.0,2.0,51-100
14,1,58,2.0,2.0,1.0,11-20
14,1,56,2.0,2.0,1.0,11-20
14,1,53,2.0,2.0,1.0,11-20
14,1,61,2.0,2.0,1.0,11-20
14,1,58,2.0,2.0,1.0,11-20
14,1,97,2.0,2.0,1.0,11-20
14,1,67,2.0,2.0,1.0,11-20
14,1,59,2.0,2.0,1.0,11-20
14,1,65,2.0,2.0,1.0,11-20
14,1,69,2.0,2.0,1.0,11-20
14,1,61,2.0,2.0,1.0,11-20
14,1,64,2.0,2.0,1.0,11-20
14,1,65,2.0,2.0,1.0,11-20
14,1,59,2.0,2.0,1.0,11-20
14,1,59,2.0,2.0,1.0,11-20
14,1,58,2.0,2.0,1.0,11-20
14,1,55,2.0,2.0,1.0,11-20
14,1,59,2.0,2.0,1.0,11-20
14,1,59,2.0,2.0,1.0,11-20
14,1,58,2.0,2.0,1.0,11-20
15,1,55,2.0,2.0,1.0,11-20
14,1,70,2.0,2.0,1.0,11-20
14,1,60,2.0,2.0,1.0,11-20
14,1,62,2.0,2.0,1.0,11-20
14,1,64,2.0,2.0,1.0,11-20
14,1,63,2.0,2.0,1.0,11-20
14,1,59,2.0,2.0,1.0,11-20
14,1,61,2.0,2.0,1.0,11-20
14,1,51,2.0,2.0,1.0,11-20
103,1,76,4.0,4.0,3.0,101-200
96,1,84,4.0,4.0,3.0,51-100
32,1,48,2.0,2.0,1.0,21-50
24,1,56,2.0,2.0,1.0,21-50
74,1,120,3.0,3.0,2.0,51-100
44,1,100,3.0,3.0,2.0,21-50
85,1,72,3.0,3.0,2.0,51-100
26,1,94,2.0,2.0,1.0,21-50
111,1,83,4.0,4.0,3.0,101-200
14,1,70,2.0,2.0,1.0,11-20
31,1,61,2.0,2.0,1.0,21-50
29,1,79,2.0,2.0,1.0,21-50
27,1,78,2.0,2.0,1.0,21-50
29,1,65,2.0,2.0,1.0,21-50
22,1,68,1.0,1.0,0.0,21-50
25,1,59,2.0,2.0,1.0,21-50
26,1,57,2.0,2.0,1.0,21-50
